County,Candidate,Party,Votes
Alameda,Biden,DEM,617659
Alameda,Trump*,REP,136309
Alameda,Jorgensen,LIB,6295
Alameda,Hawkins,GRN,4664
Alameda,La Riva,PF,2538
Alameda,De La Fuente Guerra,AI,2399
Alameda,Carroll,(W/I),127
Alameda,Ventura,(W/I),29
Alameda,Charles,(W/I),25
Alameda,Kishore,(W/I),17
Alameda,Pierce,(W/I),8
Alpine,Biden,DEM,476
Alpine,Trump*,REP,244
Alpine,Jorgensen,LIB,15
Alpine,Hawkins,GRN,4
Alpine,La Riva,PF,2
Alpine,De La Fuente Guerra,AI,0
Alpine,Carroll,(W/I),0
Alpine,Charles,(W/I),0
Alpine,Kishore,(W/I),0
Alpine,Pierce,(W/I),0
Alpine,Ventura,(W/I),0
Amador,Trump*,REP,13585
Amador,Biden,DEM,8153
Amador,Jorgensen,LIB,349
Amador,Hawkins,GRN,110
Amador,De La Fuente Guerra,AI,64
Amador,La Riva,PF,41
Amador,Carroll,(W/I),1
Amador,Ventura,(W/I),1
Amador,Charles,(W/I),0
Amador,Kishore,(W/I),0
Amador,Pierce,(W/I),0
Butte,Biden,DEM,50426
Butte,Trump*,REP,48730
Butte,Jorgensen,LIB,1774
Butte,Hawkins,GRN,507
Butte,De La Fuente Guerra,AI,324
Butte,La Riva,PF,281
Butte,Carroll,(W/I),15
Butte,Ventura,(W/I),4
Butte,Pierce,(W/I),3
Butte,Charles,(W/I),2
Butte,Kishore,(W/I),0
Calaveras,Trump*,REP,16518
Calaveras,Biden,DEM,10046
Calaveras,Jorgensen,LIB,359
Calaveras,Hawkins,GRN,125
Calaveras,De La Fuente Guerra,AI,72
Calaveras,La Riva,PF,44
Calaveras,Carroll,(W/I),0
Calaveras,Charles,(W/I),0
Calaveras,Kishore,(W/I),0
Calaveras,Pierce,(W/I),0
Calaveras,Ventura,(W/I),0
Colusa,Trump*,REP,4559
Colusa,Biden,DEM,3239
Colusa,Jorgensen,LIB,81
Colusa,De La Fuente Guerra,AI,30
Colusa,La Riva,PF,27
Colusa,Hawkins,GRN,25
Colusa,Carroll,(W/I),0
Colusa,Charles,(W/I),0
